quad,cell,plno,emerge,yeart,age,st,lst,st1,lst1,sizeage,gr
84,6,798,14,14,1,40,3.69,67,4.2,3.69,0.52
84,7,801,13,14,2,45,3.81,60,4.09,7.61,0.29
84,8,802,14,14,1,20,3,60,4.09,3,1.1
84,11,808,13,14,2,32,3.47,70,4.25,6.93,0.78
84,13,815,13,14,2,42,3.74,45,3.81,7.48,0.07
84,13,814,13,14,2,34,3.53,80,4.38,7.05,0.86
84,18,832,13,14,2,30,3.4,66,4.19,6.8,0.79
85,4,843,13,14,2,44,3.78,60,4.09,7.57,0.31
85,6,847,13,14,2,45,3.81,55,4.01,7.61,0.2
85,17,862,14,14,1,18,2.89,42,3.74,2.89,0.85
85,17,863,14,14,1,25,3.22,65,4.17,3.22,0.96
85,18,864,13,14,2,47,3.85,55,4.01,7.7,0.16
86,3,875,13,14,2,20,3,30,3.4,5.99,0.41
86,3,876,13,14,2,20,3,45,3.81,5.99,0.81
86,4,879,13,14,2,25,3.22,70,4.25,6.44,1.03
86,7,888,13,14,2,25,3.22,42,3.74,6.44,0.52
91,16,939,13,14,2,42,3.74,40,3.69,7.48,-0.05
91,18,944,14,14,1,26,3.26,35,3.56,3.26,0.3
91,20,947,14,14,1,28,3.33,26,3.26,3.33,-0.07
91,21,948,13,14,2,38,3.64,60,4.09,7.28,0.46
57,15,429,15,15,1,40,3.69,75,4.32,3.69,0.63
60,2,472,14,15,2,25,3.22,50,3.91,6.44,0.69
60,7,477,14,15,2,30,3.4,35,3.56,6.8,0.15
59,4,460,15,18,4,45,3.81,60,4.09,15.23,0.29
59,10,465,17,18,2,30,3.4,30,3.4,6.8,0
74,19,542,17,18,2,55,4.01,57,4.04,8.01,0.04
78,10,582,15,18,4,30,3.4,34,3.53,13.6,0.13
78,16,605,17,18,2,50,3.91,42,3.74,7.82,-0.17
79,6,617,18,18,1,30,3.4,37,3.61,3.4,0.21
79,8,618,17,18,2,50,3.91,47,3.85,7.82,-0.06
80,9,640,17,18,2,30,3.4,38,3.64,6.8,0.24
80,12,645,17,18,2,35,3.56,48,3.87,7.11,0.32
80,13,647,18,18,1,30,3.4,28,3.33,3.4,-0.07
80,13,648,18,18,1,35,3.56,31,3.43,3.56,-0.12
80,13,649,18,18,1,30,3.4,37,3.61,3.4,0.21
80,24,656,17,18,2,65,4.17,72,4.28,8.35,0.1
81,5,660,17,18,2,65,4.17,54,3.99,8.35,-0.19
81,15,666,18,18,1,25,3.22,29,3.37,3.22,0.15
82,4,672,18,18,1,30,3.4,35,3.56,3.4,0.15
82,9,675,17,18,2,40,3.69,40,3.69,7.38,0
82,17,681,17,18,2,40,3.69,40,3.69,7.38,0
82,19,684,18,18,1,25,3.22,35,3.56,3.22,0.34
82,20,687,17,18,2,25,3.22,30,3.4,6.44,0.18
82,20,688,18,18,1,25,3.22,30,3.4,3.22,0.18
83,4,697,17,18,2,35,3.56,45,3.81,7.11,0.25
83,15,743,17,18,2,45,3.81,35,3.56,7.61,-0.25
83,16,745,18,18,1,30,3.4,40,3.69,3.4,0.29
88,11,902,17,18,2,45,3.81,50,3.91,7.61,0.11
88,12,903,17,18,2,45,3.81,55,4.01,7.61,0.2
88,24,899,17,18,2,30,3.4,30,3.4,6.8,0
90,5,933,17,18,2,30,3.4,35,3.56,6.8,0.15
91,6,937,17,18,2,40,3.69,33,3.5,7.38,-0.19
