seeds,recruits
0,36.7182
0,0.118947
289.656,2.78136
466.969,38.4655
487.401,10.2241
509.755,25.5564
527.59,1.52248
769.245,15.2494
927.613,55.5437
939.913,8.28186
958.815,4.36327
1190.97,20.7987
1270.65,51.6376
1295.38,29.2178
1466.7,48.9362
2346.69,10.603
2884.23,16.0799
3341.46,13.4078
