seeds,recruits,seeds2,recruits2
76.7862,14.2664,76.7835,14.0322
222.373,51.0119,223.579,50.6838
234.48,51.9468,234.48,51.9468
238.41,43.0469,238.005,42.9532
1236.16,22.7505,1238.17,22.5628
1717.53,329.468,1716.52,329.234
2492.76,70.3297,2491.95,70.2829
2505.61,135.433,2504.8,135.059
2643.47,375.459,2643.06,375.319
2749.87,162.327,2750.68,162.28
3196.17,51.9528,3195.77,52.0465
